Week,TOW,Sys,Sat,Obs,Value,LoL,Strg
1989,327958.000000,G,2,C1C,25317522.176000,0,5
1989,327958.000000,G,2,L1C,133044385.015000,0,5
1989,327958.000000,G,2,D1C,2668.265000,0,5
1989,327958.000000,G,2,S1C,33.000000,0,5
1989,327958.000000,G,12,C1C,24591248.875000,0,7
1989,327958.000000,G,12,L1C,129227562.074000,0,7
1989,327958.000000,G,12,D1C,2861.378000,0,7
1989,327958.000000,G,12,S1C,46.000000,0,7
1989,327958.000000,G,14,C1C,23165169.931000,0,3
1989,327958.000000,G,14,L1C,0.000000,0,3
1989,327958.000000,G,14,D1C,0.000000,0,3
1989,327958.000000,G,14,S1C,23.000000,0,3
1989,327958.000000,G,16,C1C,24976380.421000,0,3
1989,327958.000000,G,16,L1C,0.000000,0,3
1989,327958.000000,G,16,D1C,0.000000,0,3
1989,327958.000000,G,16,S1C,22.000000,0,3
1989,327958.000000,G,21,C1C,22711619.956000,0,7
1989,327958.000000,G,21,L1C,119350189.427000,0,7
1989,327958.000000,G,21,D1C,-2765.513000,0,7
1989,327958.000000,G,21,S1C,47.000000,0,7
1989,327958.000000,G,25,C1C,21655483.170000,0,8
1989,327958.000000,G,25,L1C,113800259.153000,0,8
1989,327958.000000,G,25,D1C,1848.859000,0,8
1989,327958.000000,G,25,S1C,49.000000,0,8
1989,327958.000000,G,26,C1C,22708920.317000,0,4
1989,327958.000000,G,26,L1C,119337070.669000,0,4
1989,327958.000000,G,26,D1C,-2481.013000,0,4
1989,327958.000000,G,26,S1C,25.000000,0,4
1989,327958.000000,G,31,C1C,20686144.689000,0,5
1989,327958.000000,G,31,L1C,108706289.057000,0,5
1989,327958.000000,G,31,D1C,-707.746000,0,5
1989,327958.000000,G,31,S1C,34.000000,0,5
1989,327958.000000,G,32,C1C,24512315.970000,0,5
1989,327958.000000,G,32,L1C,128812946.849000,0,5
1989,327958.000000,G,32,D1C,3131.796000,0,5
1989,327958.000000,G,32,S1C,32.000000,0,5
1989,327963.000000,G,2,C1C,25320057.832000,0,5
1989,327963.000000,G,2,L1C,133057739.976000,0,5
1989,327963.000000,G,2,D1C,2668.959000,0,5
1989,327963.000000,G,2,S1C,33.000000,0,5
1989,327963.000000,G,12,C1C,24593972.227000,0,7
1989,327963.000000,G,12,L1C,129241881.385000,0,7
1989,327963.000000,G,12,D1C,2861.281000,0,7
1989,327963.000000,G,12,S1C,46.000000,0,7
1989,327963.000000,G,14,C1C,23167377.006000,0,2
1989,327963.000000,G,14,L1C,0.000000,0,2
1989,327963.000000,G,14,D1C,0.000000,0,2
1989,327963.000000,G,14,S1C,17.000000,0,2
1989,327963.000000,G,16,C1C,24973572.490000,0,3
1989,327963.000000,G,16,L1C,0.000000,0,3
1989,327963.000000,G,16,D1C,-2946.447000,0,3
1989,327963.000000,G,16,S1C,23.000000,0,3
1989,327963.000000,G,21,C1C,22708992.999000,0,8
