Week,TOW,Sys,Sat,Obs,Value,LoL,Strg
1989,564563.000000,G,5,C1C,24231179.260000,0,7
1989,564563.000000,G,5,L1C,127336436.414000,0,7
1989,564563.000000,G,5,D1C,3673.316000,0,7
1989,564563.000000,G,5,S1C,44.000000,0,7
1989,564563.000000,G,12,C1C,23996150.921000,0,7
1989,564563.000000,G,12,L1C,126101309.160000,0,7
1989,564563.000000,G,12,D1C,-3949.041000,0,7
1989,564563.000000,G,12,S1C,43.000000,0,7
1989,564563.000000,G,13,C1C,20627583.568000,0,7
1989,564563.000000,G,13,L1C,108399379.239000,0,7
1989,564563.000000,G,13,D1C,1162.210000,0,7
1989,564563.000000,G,13,S1C,45.000000,0,7
1989,564563.000000,G,17,C1C,24025867.201000,0,8
1989,564563.000000,G,17,L1C,126257440.266000,0,8
1989,564563.000000,G,17,D1C,-1863.490000,0,8
1989,564563.000000,G,17,S1C,49.000000,0,8
1989,564563.000000,G,19,C1C,24497119.440000,0,7
1989,564563.000000,G,19,L1C,128733869.497000,0,7
1989,564563.000000,G,19,D1C,-2994.082000,0,7
1989,564563.000000,G,19,S1C,45.000000,0,7
1989,564563.000000,G,20,C1C,21521603.979000,0,6
1989,564563.000000,G,20,L1C,113097421.211000,0,6
1989,564563.000000,G,20,D1C,1785.937000,0,6
1989,564563.000000,G,20,S1C,37.000000,0,6
1989,564563.000000,G,24,C1C,21592969.810000,0,5
1989,564563.000000,G,24,L1C,113471701.228000,0,5
1989,564563.000000,G,24,D1C,-1959.682000,0,5
1989,564563.000000,G,24,S1C,33.000000,0,5
1989,564563.000000,G,28,C1C,23402384.872000,0,7
1989,564563.000000,G,28,L1C,122981029.510000,0,7
1989,564563.000000,G,28,D1C,2807.077000,0,7
1989,564563.000000,G,28,S1C,42.000000,0,7
1989,564568.000000,G,5,C1C,24234676.434000,0,7
1989,564568.000000,G,5,L1C,127354805.188000,0,7
1989,564568.000000,G,5,D1C,3673.865000,0,7
1989,564568.000000,G,5,S1C,44.000000,0,7
1989,564568.000000,G,12,C1C,23992392.340000,0,7
1989,564568.000000,G,12,L1C,126081564.686000,0,7
1989,564568.000000,G,12,D1C,-3948.226000,0,7
1989,564568.000000,G,12,S1C,43.000000,0,7
1989,564568.000000,G,13,C1C,20628689.777000,0,7
1989,564568.000000,G,13,L1C,108405193.407000,0,7
1989,564568.000000,G,13,D1C,1163.774000,0,7
1989,564568.000000,G,13,S1C,45.000000,0,7
1989,564568.000000,G,15,C1C,20347854.586000,0,6
1989,564568.000000,G,15,L1C,106929454.514000,0,6
1989,564568.000000,G,15,D1C,-572.964000,0,6
1989,564568.000000,G,15,S1C,41.000000,0,6
1989,564568.000000,G,17,C1C,24024093.721000,0,8
1989,564568.000000,G,17,L1C,126248127.564000,0,8
1989,564568.000000,G,17,D1C,-1861.556000,0,8
1989,564568.000000,G,17,S1C,49.000000,0,8
1989,564568.000000,G,19,C1C,24494269.686000,0,7
1989,564568.000000,G,19,L1C,128718902.942000,0,7
1989,564568.000000,G,19,D1C,-2992.723000,0,7
1989,564568.000000,G,19,S1C,45.000000,0,7
1989,564568.000000,G,20,C1C,21523300.304000,0,6
1989,564568.000000,G,20,L1C,113106357.461000,0,6
1989,564568.000000,G,20,D1C,1787.964000,0,6
1989,564568.000000,G,20,S1C,37.000000,0,6
1989,564568.000000,G,24,C1C,21591111.153000,0,5
1989,564568.000000,G,24,L1C,113461903.924000,0,5
1989,564568.000000,G,24,D1C,-1959.400000,0,5
1989,564568.000000,G,24,S1C,34.000000,0,5
1989,564568.000000,G,28,C1C,23405056.389000,0,7
1989,564568.000000,G,28,L1C,122995069.429000,0,7
1989,564568.000000,G,28,D1C,2808.795000,0,7
1989,564568.000000,G,28,S1C,42.000000,0,7
1989,564573.000000,G,5,C1C,24238170.057000,0,7
1989,564573.000000,G,5,L1C,127373170.297000,0,7
1989,564573.000000,G,5,D1C,3673.511000,0,7
1989,564573.000000,G,5,S1C,44.000000,0,7
1989,564573.000000,G,12,C1C,23988638.272000,0,7
1989,564573.000000,G,12,L1C,126061818.927000,0,7
1989,564573.000000,G,12,D1C,-3947.789000,0,7
1989,564573.000000,G,12,S1C,43.000000,0,7
1989,564573.000000,G,13,C1C,20629799.273000,0,7
1989,564573.000000,G,13,L1C,108411013.848000,0,7
1989,564573.000000,G,13,D1C,1165.946000,0,7
1989,564573.000000,G,13,S1C,45.000000,0,7
1989,564573.000000,G,15,C1C,20347306.701000,0,6
1989,564573.000000,G,15,L1C,106926591.358000,0,6
1989,564573.000000,G,15,D1C,-570.618000,0,6
1989,564573.000000,G,15,S1C,41.000000,0,6
1989,564573.000000,G,17,C1C,24022321.492000,0,8
1989,564573.000000,G,17,L1C,126238819.442000,0,8
1989,564573.000000,G,17,D1C,-1859.969000,0,8
1989,564573.000000,G,17,S1C,48.000000,0,8
1989,564573.000000,G,19,C1C,24491419.361000,0,7
1989,564573.000000,G,19,L1C,128703935.380000,0,7
1989,564573.000000,G,19,D1C,-2992.276000,0,7
1989,564573.000000,G,19,S1C,44.000000,0,7
1989,564573.000000,G,20,C1C,21525005.029000,0,6
1989,564573.000000,G,20,L1C,113115302.851000,0,6
1989,564573.000000,G,20,D1C,1790.833000,0,6
1989,564573.000000,G,20,S1C,36.000000,0,6
1989,564573.000000,G,24,C1C,21589251.307000,0,5
1989,564573.000000,G,24,L1C,113452109.369000,0,5
1989,564573.000000,G,24,D1C,-1956.972000,0,5
1989,564573.000000,G,24,S1C,34.000000,0,5
1989,564573.000000,G,28,C1C,23407728.973000,0,7
1989,564573.000000,G,28,L1C,123009111.955000,0,7
1989,564573.000000,G,28,D1C,2810.310000,0,7
1989,564573.000000,G,28,S1C,42.000000,0,7
1989,564578.000000,G,5,C1C,24241664.619000,0,7
1989,564578.000000,G,5,L1C,127391543.348000,0,7
1989,564578.000000,G,5,D1C,3673.285000,0,7
1989,564578.000000,G,5,S1C,43.000000,0,7
1989,564578.000000,G,12,C1C,23984881.019000,0,7
1989,564578.000000,G,12,L1C,126042083.424000,0,7
1989,564578.000000,G,12,D1C,-3947.481000,0,7
1989,564578.000000,G,12,S1C,43.000000,0,7
1989,564578.000000,G,13,C1C,20630910.821000,0,7
1989,564578.000000,G,13,L1C,108416852.071000,0,7
1989,564578.000000,G,13,D1C,1167.650000,0,7
1989,564578.000000,G,13,S1C,45.000000,0,7
1989,564578.000000,G,15,C1C,20346762.275000,0,6
1989,564578.000000,G,15,L1C,106923747.381000,0,6
1989,564578.000000,G,15,D1C,-568.473000,0,6
1989,564578.000000,G,15,S1C,41.000000,0,6
1989,564578.000000,G,17,C1C,24020553.486000,0,8
1989,564578.000000,G,17,L1C,126229527.503000,0,8
1989,564578.000000,G,17,D1C,-1858.604000,0,8
1989,564578.000000,G,17,S1C,48.000000,0,8
1989,564578.000000,G,19,C1C,24488574.508000,0,7
1989,564578.000000,G,19,L1C,128688978.580000,0,7
1989,564578.000000,G,19,D1C,-2991.670000,0,7
1989,564578.000000,G,19,S1C,44.000000,0,7
1989,564578.000000,G,20,C1C,21526707.820000,0,6
1989,564578.000000,G,20,L1C,113124269.076000,0,6
1989,564578.000000,G,20,D1C,1794.323000,0,6
1989,564578.000000,G,20,S1C,36.000000,0,6
1989,564578.000000,G,24,C1C,21587384.788000,0,5
1989,564578.000000,G,24,L1C,113442328.741000,0,5
1989,564578.000000,G,24,D1C,-1956.253000,0,5
1989,564578.000000,G,24,S1C,34.000000,0,5
1989,564578.000000,G,28,C1C,23410401.579000,0,7
1989,564578.000000,G,28,L1C,123023168.590000,0,7
1989,564578.000000,G,28,D1C,2810.957000,0,7
1989,564578.000000,G,28,S1C,42.000000,0,7
1989,564583.000000,G,5,C1C,24245160.824000,0,7
1989,564583.000000,G,5,L1C,127409912.025000,0,7
1989,564583.000000,G,5,D1C,3673.398000,0,7
1989,564583.000000,G,5,S1C,43.000000,0,7
1989,564583.000000,G,12,C1C,23981121.435000,0,7
